Municipality,PS,PD,Other Parties,Invalid Ballots,Eligible Voters,Total Eligible Votes,Total Votes,Turnout,pPS,pPD,pOP,pInvalid,pTurnout
Himare,3447,1854,457,124,22830,5758,5882,0.25764345159877355,0.5986453629732547,0.32198680097255994,0.07936783605418549,0.02153525529697812,0.25764345159877355
Kamez,19344,25764,6361,2585,103429,51469,54054,0.522619381411403,0.3758378829975325,0.5005731605432396,0.12358895645922789,0.05022440692455653,0.522619381411403
Kavaje,10338,10115,2079,941,64729,22532,23473,0.3626349858641413,0.45881413101366947,0.44891709568613525,0.09226877330019528,0.04176282620273389,0.3626349858641413
Kelcyre,1823,1103,603,193,9419,3529,3722,0.39515872173266803,0.5165769339756305,0.31255313119863987,0.17086993482572968,0.05468971379994333,0.39515872173266803
Klos,3702,3738,512,644,15602,7952,8596,0.5509550057684912,0.46554325955734405,0.47007042253521125,0.06438631790744467,0.08098591549295775,0.5509550057684912
Kolonje,3666,2299,911,451,15331,6876,7327,0.47792055312764986,0.5331588132635253,0.3343513670738802,0.13248981966259454,0.06559045956951716,0.47792055312764986
Konispol,2234,1354,333,273,11341,3921,4194,0.36980865884842606,0.5697526141290488,0.3453200714103545,0.08492731446059679,0.06962509563886764,0.36980865884842606
Korce,20837,18263,4542,1929,109260,43642,45571,0.4170876807614864,0.4774529123321571,0.4184730305668851,0.1040740571009578,0.044200540763484716,0.4170876807614864
Kruje,16630,14076,3052,1839,63737,33758,35597,0.5584982035552348,0.4926239706143729,0.4169678298477398,0.09040819953788731,0.054475976064932756,0.5584982035552348
Kucove,9399,5358,1964,1052,44903,16721,17773,0.3958087432910941,0.56210752945398,0.32043538065905147,0.11745708988696849,0.06291489743436397,0.3958087432910941
Kukes,8091,12852,477,1082,44881,21420,22502,0.5013702903232994,0.3777310924369748,0.6,0.02226890756302521,0.05051353874883287,0.5013702903232994
Kurbin,7392,12874,3657,1835,57619,23923,25758,0.4470400388760652,0.30899134723905863,0.538143209463696,0.15286544329724533,0.07670442670233667,0.4470400388760652
Lezhe,14999,15224,5038,2509,88312,35261,37770,0.427688196394601,0.4253708062732197,0.4317517937664842,0.14287739996029608,0.07115510053600295,0.427688196394601
Libohove,1156,901,286,142,5864,2343,2485,0.4237721691678035,0.4933845497225779,0.3845497225778916,0.12206572769953052,0.06060606060606061,0.4237721691678035
Librazhd,9952,5181,1229,1243,33068,16362,17605,0.5323878069432684,0.6082386016379415,0.31664833149981664,0.07511306686224178,0.0759687079819093,0.5323878069432684
Lushnje,24794,17069,4298,2778,104249,46161,48939,0.4694433519745993,0.5371200797209765,0.3697710188254154,0.09310890145360802,0.060180671995840644,0.4694433519745993
Malesi e Madhe,6521,7090,2435,1346,45267,16046,17392,0.384209247354585,0.4063941169138726,0.4418546678299888,0.1517512152561386,0.08388383397731522,0.384209247354585
Maliq,12049,9316,1936,1423,49263,23301,24724,0.5018776769583663,0.5171022702888288,0.399811166902708,0.08308656280846316,0.06107034032874126,0.5018776769583663
Mallakaster,6443,5525,1565,864,31256,13533,14397,0.4606155618121321,0.47609547033178157,0.40826128722382327,0.11564324244439518,0.06384393704278431,0.4606155618121321
Mat,7158,6157,933,866,29416,14248,15114,0.5138020125101985,0.5023862998315554,0.43213082537900055,0.06548287478944413,0.06078046041549691,0.5138020125101985
Memaliaj,3271,1404,1188,411,15821,5863,6274,0.3965615321408255,0.5579055091250213,0.2394678492239468,0.2026266416510319,0.07010063107624083,0.3965615321408255
Mirdite,4878,5898,1742,602,27968,12518,13120,0.4691075514874142,0.38967886243808914,0.47116152740054323,0.13915961016136763,0.048090749320977795,0.4691075514874142
Patos,7707,5111,1321,715,34508,14139,14854,0.43045090993392837,0.5450880543178442,0.361482424499611,0.09342952118254473,0.05056934719569984,0.43045090993392837
