District,Municipality,Administrative Unit,pPS,pPD,pPSPD,pOP,pInvalid,Eligible Voters,Total Eligible Votes,Total Votes,pTurnout
Berat,Ura Vajgurore,Cukalat,0.48516218081435475,0.43754313319530713,1.108832807570978,0.07729468599033816,0.08753148614609572,3237,1449,1588,0.4905776953969725
Berat,Ura Vajgurore,Kutalli,0.527346243881677,0.369865928921047,1.425776754890679,0.10278782719727601,0.0857976653696498,10339,4699,5140,0.4971467259889738
Berat,Ura Vajgurore,Poshnje,0.5047353760445682,0.40278551532033424,1.2531120331950207,0.09247910863509749,0.08231083844580778,8220,3590,3912,0.4759124087591241
Berat,Ura Vajgurore,Ura Vajgurore,0.5971778487752929,0.312566560170394,1.9105621805792163,0.0902555910543131,0.08657587548638132,9321,3756,4112,0.4411543825769767
Diber,Bulqize,Bulqize,0.42771776603079753,0.330728568145254,1.2932592077831828,0.24155366582394852,0.09861197431116636,9158,4351,4827,0.5270801485040402
Diber,Bulqize,Fushe Bulqize,0.3933680104031209,0.3433029908972692,1.1458333333333333,0.2633289986996099,0.11149624494511842,2992,1538,1731,0.578542780748663
Diber,Bulqize,Gjorice,0.48413156376226196,0.4362377380265436,1.1097883597883598,0.07963069821119446,0.08452192287374538,3946,1733,1893,0.47972630511910797
Diber,Bulqize,Martanesh,0.5865921787709497,0.28631284916201116,2.048780487804878,0.1270949720670391,0.08087291399229782,1660,716,779,0.46927710843373494
Diber,Bulqize,Ostren,0.49065800162469536,0.4646628757108042,1.055944055944056,0.04467912266450041,0.06742424242424243,2371,1231,1320,0.5567271193589203
Diber,Bulqize,Shupenze,0.49127288207747977,0.39846743295019155,1.232905982905983,0.11025968497232864,0.07373817034700315,5019,2349,2536,0.5052799362422793
Diber,Bulqize,Trebisht,0.6574307304785895,0.30982367758186397,2.1219512195121952,0.0327455919395466,0.03170731707317073,772,397,410,0.5310880829015544
Diber,Bulqize,Zerqan,0.3922588099364529,0.4731369150779896,0.8290598290598291,0.1346042749855575,0.0946652719665272,3667,1731,1912,0.5214071448050177
Diber,Diber,Arras,0.4184514003294893,0.5181219110378913,0.8076311605723371,0.06342668863261944,0.04334121355397951,2539,1214,1269,0.4998030720756203
Diber,Diber,Fushe Cidhen,0.27583108715184185,0.5884995507637018,0.4687022900763359,0.13566936208445643,0.0709515859766277,2590,1113,1198,0.46254826254826253
