District,Municipality,Administrative Unit,PS,PD,LSI,Other Parties,Invalid Ballots,Eligible Voters
Tirane,Kavaje,Kavaje,5331,5685,796,574,487,33126
Tirane,Kavaje,Luz I Vogel,1099,955,27,68,105,8366
Tirane,Kavaje,Synej,1236,1102,60,68,120,8882
Tirane,Rrogozhine,Gose,1020,936,65,112,121,6732
Tirane,Rrogozhine,Kryevidh,844,692,334,147,86,7127
Tirane,Rrogozhine,Lekaj,1047,1024,81,123,138,7340
Tirane,Rrogozhine,Rrogozhine,2115,1145,104,272,179,9508
Tirane,Rrogozhine,Sinaballaj,311,152,34,20,22,1289
Tirane,Tirane,Baldushk,1226,1077,80,243,127,4131
Tirane,Tirane,Kashar,12994,8747,1772,1511,1118,40748
Tirane,Tirane,Ndroq,2024,1290,279,124,272,7302
Tirane,Tirane,Petrele,2079,1257,89,105,190,5222
Tirane,Tirane,Peze,1739,901,154,106,235,4672
Tirane,Tirane,Vaqarr,2551,1895,265,187,348,7791
Tirane,Tirane,Berzhite,1793,799,112,152,172,4594
Tirane,Tirane,Dajt,6131,4013,928,1052,544,19928
Tirane,Tirane,Farke,6252,4439,706,667,464,18277
Tirane,Tirane,Krrabe,1020,304,33,50,80,2381
Tirane,Tirane,Shengjergj,634,543,64,73,76,1991
Tirane,Tirane,Zall Bastar,1328,928,121,221,133,3852
Tirane,Tirane,Zall Herr,3249,1587,261,172,356,9039
Tirane,Tirane,Njesia Nr. 1,11375,7537,1299,1513,899,41790
Tirane,Tirane,Njesia Nr. 2,17380,14319,2119,2420,1091,67552
Tirane,Tirane,Njesia Nr. 3,9089,6827,1156,1619,648,37427
Tirane,Tirane,Njesia Nr. 4,12627,9542,1500,1871,1068,52562
Tirane,Tirane,Njesia Nr. 5,20230,13225,2545,2922,1036,71200
Tirane,Tirane,Njesia Nr. 6,15596,9994,2039,1443,1256,56854
Tirane,Tirane,Njesia Nr. 7,15918,12661,1924,2105,982,61709
Tirane,Tirane,Njesia Nr. 8,7558,7921,1161,993,380,34033
Tirane,Tirane,Njesia Nr. 9,13131,11590,1477,1657,919,52717
Tirane,Tirane,Njesia Nr. 10,6007,4550,628,791,120,23597
Tirane,Tirane,Njesia Nr. 11,11434,10856,1450,1454,1045,50918
Tirane,Vore,Berxull,1750,2292,441,181,218,8569
Tirane,Vore,Preze,1683,927,52,106,140,5396
Tirane,Vore,Vore,5025,2486,407,357,433,16088
Vlore,Delvine,Delvine,1998,1347,463,66,246,11881
Vlore,Delvine,Vergo,601,347,114,23,74,2963
Vlore,Finiq,Aliko,251,291,16,29,30,5108
Vlore,Finiq,Dhiver,416,158,19,32,53,5554
Vlore,Finiq,Finiq,423,213,78,25,48,5426
Vlore,Finiq,Livadhja,673,464,45,41,97,9046
Vlore,Finiq,Mesopotam,445,296,25,35,50,5742
Vlore,Himare,Himare,1360,983,129,33,29,12042
Vlore,Himare,Hore Vranisht,1051,150,80,17,35,2811
Vlore,Himare,Lukove,1036,721,132,66,60,7977
Vlore,Konispol,Konsipol,861,494,21,33,87,2459
Vlore,Konispol,Markat,661,438,9,19,75,2435
Vlore,Konispol,Xarre,712,422,203,48,111,6447
Vlore,Sarande,Ksamil,1236,779,232,64,122,7243
Vlore,Sarande,Sarande,6603,4281,1248,487,646,39846
Vlore,Selenice,Armen,1105,522,99,80,112,5228
Vlore,Selenice,Brataj,922,417,121,36,91,3572
Vlore,Selenice,Kote,1316,634,96,40,72,5052
Vlore,Selenice,Selenice,845,455,42,54,82,5463
Vlore,Selenice,Sevaster,456,345,45,45,55,2258
Vlore,Selenice,Vllahine,1284,720,78,55,105,5283
Vlore,Vlore,Novosele (VL),2512,1241,189,155,249,13461
Vlore,Vlore,Orikum,1879,920,60,419,170,9333
Vlore,Vlore,Qender-Vlore,2473,1354,250,178,231,15191
Vlore,Vlore,Shushice,1470,586,116,119,124,7561
Vlore,Vlore,Vlore,26434,13550,2292,2371,1676,119046
