"PollingStation","No","Party","Votes"
"0033","3","PLDSH","0"
"0033","4","BD","0"
"0033","5","ABEOK","0"
"0033","6","LSI","10"
"0033","7","NTH","0"
"0033","8","LRE","0"
"0033","9","PDAN","82"
"0033","10","ADR","0"
"0033","11","LN","0"
"0033","12","PS","86"
"0033","13","Other","0"
"0034","1","PSD","0"
"0034","2","PBK","0"
"0034","3","PLDSH","0"
"0034","4","BD","0"
"0034","5","ABEOK","0"
"0034","6","LSI","11"
"0034","7","NTH","0"
"0034","8","LRE","0"
"0034","9","PDAN","62"
"0034","10","ADR","0"
"0034","11","LN","1"
"0034","12","PS","45"
"0034","13","Other","1"
"0035","1","PSD","7"
"0035","2","PBK","1"
"0035","3","PLDSH","0"
"0035","4","BD","0"
"0035","5","ABEOK","0"
"0035","6","LSI","1"
"0035","7","NTH","0"
"0035","8","LRE","0"
"0035","9","PDAN","27"
"0035","10","ADR","1"
"0035","11","LN","3"
"0035","12","PS","127"
"0035","13","Other","0"
"0036","1","PSD","13"
"0036","2","PBK","0"
"0036","3","PLDSH","0"
"0036","4","BD","1"
"0036","5","ABEOK","0"
"0036","6","LSI","3"
"0036","7","NTH","4"
"0036","8","LRE","0"
"0036","9","PDAN","120"
"0036","10","ADR","0"
"0036","11","LN","0"
"0036","12","PS","60"
"0036","13","Other","0"
"00361","1","PSD","6"
"00361","2","PBK","0"
"00361","3","PLDSH","0"
"00361","4","BD","1"
"00361","5","ABEOK","0"
"00361","6","LSI","0"
"00361","7","NTH","0"
"00361","8","LRE","0"
"00361","9","PDAN","66"
"00361","10","ADR","0"
"00361","11","LN","0"
"00361","12","PS","70"
"00361","13","Other","0"
"0037","1","PSD","13"
"0037","2","PBK","0"
"0037","3","PLDSH","2"
"0037","4","BD","2"
"0037","5","ABEOK","0"
"0037","6","LSI","2"
"0037","7","NTH","0"
"0037","8","LRE","0"
"0037","9","PDAN","166"
"0037","10","ADR","0"
"0037","11","LN","3"
"0037","12","PS","80"
"0037","13","Other","0"
"00371","1","PSD","1"
"00371","2","PBK","0"
"00371","3","PLDSH","0"
"00371","4","BD","0"
"00371","5","ABEOK","0"
"00371","6","LSI","2"
"00371","7","NTH","0"
"00371","8","LRE","0"
"00371","9","PDAN","66"
"00371","10","ADR","0"
"00371","11","LN","0"
"00371","12","PS","45"
"00371","13","Other","0"
"0038","1","PSD","17"
"0038","2","PBK","2"
"0038","3","PLDSH","1"
"0038","4","BD","0"
"0038","5","ABEOK","0"
"0038","6","LSI","6"
"0038","7","NTH","0"
"0038","8","LRE","0"
"0038","9","PDAN","132"
"0038","10","ADR","0"
"0038","11","LN","2"
"0038","12","PS","231"
"0038","13","Other","0"
"0039","1","PSD","17"
"0039","2","PBK","2"
"0039","3","PLDSH","0"
"0039","4","BD","0"
"0039","5","ABEOK","0"
"0039","6","LSI","3"
"0039","7","NTH","0"
"0039","8","LRE","0"
"0039","9","PDAN","55"
"0039","10","ADR","0"
"0039","11","LN","0"
"0039","12","PS","46"
"0039","13","Other","0"
"00391","1","PSD","13"
"00391","2","PBK","0"
"00391","3","PLDSH","0"
"00391","4","BD","0"
"00391","5","ABEOK","0"
"00391","6","LSI","0"
"00391","7","NTH","0"
"00391","8","LRE","0"
"00391","9","PDAN","46"
"00391","10","ADR","0"
"00391","11","LN","0"
"00391","12","PS","35"
"00391","13","Other","0"
"0040","1","PSD","3"
"0040","2","PBK","0"
"0040","3","PLDSH","0"
"0040","4","BD","6"
"0040","5","ABEOK","0"
"0040","6","LSI","5"
"0040","7","NTH","0"
"0040","8","LRE","0"
"0040","9","PDAN","59"
"0040","10","ADR","1"
"0040","11","LN","0"
"0040","12","PS","61"
"0040","13","Other","0"
"0041","1","PSD","11"
"0041","2","PBK","1"
"0041","3","PLDSH","0"
"0041","4","BD","4"
"0041","5","ABEOK","0"
"0041","6","LSI","3"
"0041","7","NTH","0"
"0041","8","LRE","0"
"0041","9","PDAN","99"
"0041","10","ADR","2"
"0041","11","LN","3"
"0041","12","PS","72"
"0041","13","Other","0"
"00411","1","PSD","8"
"00411","2","PBK","2"
"00411","3","PLDSH","0"
"00411","4","BD","0"
"00411","5","ABEOK","0"
"00411","6","LSI","4"
"00411","7","NTH","0"
"00411","8","LRE","0"
"00411","9","PDAN","77"
"00411","10","ADR","0"
"00411","11","LN","0"
"00411","12","PS","40"
"00411","13","Other","0"
"0042","1","PSD","18"
"0042","2","PBK","0"
"0042","3","PLDSH","1"
"0042","4","BD","1"
"0042","5","ABEOK","0"
"0042","6","LSI","3"
"0042","7","NTH","0"
"0042","8","LRE","0"
"0042","9","PDAN","97"
"0042","10","ADR","0"
"0042","11","LN","0"
"0042","12","PS","85"
"0042","13","Other","0"
"0043","1","PSD","9"
"0043","2","PBK","1"
"0043","3","PLDSH","0"
"0043","4","BD","3"
"0043","5","ABEOK","0"
"0043","6","LSI","5"
"0043","7","NTH","1"
"0043","8","LRE","0"
"0043","9","PDAN","70"
"0043","10","ADR","1"
"0043","11","LN","0"
"0043","12","PS","50"
"0043","13","Other","0"
"0044","1","PSD","22"
"0044","2","PBK","1"
"0044","3","PLDSH","1"
"0044","4","BD","4"
"0044","5","ABEOK","0"
"0044","6","LSI","8"
"0044","7","NTH","0"
"0044","8","LRE","1"
"0044","9","PDAN","133"
"0044","10","ADR","3"
"0044","11","LN","1"
"0044","12","PS","142"
"0044","13","Other","0"
"0045","1","PSD","2"
"0045","2","PBK","0"
"0045","3","PLDSH","0"
"0045","4","BD","2"
"0045","5","ABEOK","0"
"0045","6","LSI","2"
"0045","7","NTH","0"
"0045","8","LRE","1"
"0045","9","PDAN","38"
"0045","10","ADR","0"
"0045","11","LN","0"
"0045","12","PS","34"
"0045","13","Other","0"
"0047","1","PSD","40"
"0047","2","PBK","0"
"0047","3","PLDSH","1"
"0047","4","BD","1"
"0047","5","ABEOK","0"
"0047","6","LSI","9"
"0047","7","NTH","0"
"0047","8","LRE","0"
"0047","9","PDAN","108"
"0047","10","ADR","1"
"0047","11","LN","1"
"0047","12","PS","96"
"0047","13","Other","0"
"00471","1","PSD","22"
"00471","2","PBK","1"
"00471","3","PLDSH","1"
"00471","4","BD","2"
"00471","5","ABEOK","0"
"00471","6","LSI","5"
"00471","7","NTH","0"
"00471","8","LRE","0"
"00471","9","PDAN","99"
"00471","10","ADR","0"
"00471","11","LN","2"
"00471","12","PS","106"
"00471","13","Other","0"
"00472","1","PSD","20"
"00472","2","PBK","0"
"00472","3","PLDSH","1"
"00472","4","BD","2"
"00472","5","ABEOK","0"
"00472","6","LSI","4"
"00472","7","NTH","0"
"00472","8","LRE","0"
"00472","9","PDAN","75"
"00472","10","ADR","0"
"00472","11","LN","1"
"00472","12","PS","91"
"00472","13","Other","0"
"0048","1","PSD","28"
"0048","2","PBK","0"
"0048","3","PLDSH","0"
"0048","4","BD","11"
"0048","5","ABEOK","0"
"0048","6","LSI","24"
"0048","7","NTH","0"
"0048","8","LRE","0"
"0048","9","PDAN","151"
"0048","10","ADR","1"
"0048","11","LN","0"
"0048","12","PS","147"
"0048","13","Other","0"
"00481","1","PSD","13"
"00481","2","PBK","1"
"00481","3","PLDSH","0"
"00481","4","BD","2"
"00481","5","ABEOK","0"
"00481","6","LSI","4"
"00481","7","NTH","0"
"00481","8","LRE","0"
"00481","9","PDAN","74"
"00481","10","ADR","0"
"00481","11","LN","0"
"00481","12","PS","90"
"00481","13","Other","0"
"00482","1","PSD","26"
"00482","2","PBK","0"
"00482","3","PLDSH","3"
"00482","4","BD","5"
"00482","5","ABEOK","0"
"00482","6","LSI","20"
"00482","7","NTH","0"
"00482","8","LRE","0"
"00482","9","PDAN","112"
"00482","10","ADR","1"
"00482","11","LN","0"
"00482","12","PS","89"
"00482","13","Other","0"
"0049","1","PSD","25"
"0049","2","PBK","3"
"0049","3","PLDSH","2"
"0049","4","BD","3"
"0049","5","ABEOK","0"
"0049","6","LSI","9"
"0049","7","NTH","2"
"0049","8","LRE","0"
"0049","9","PDAN","195"
"0049","10","ADR","0"
"0049","11","LN","0"
"0049","12","PS","148"
"0049","13","Other","0"
"00491","1","PSD","20"
"00491","2","PBK","1"
"00491","3","PLDSH","3"
"00491","4","BD","1"
"00491","5","ABEOK","0"
"00491","6","LSI","11"
"00491","7","NTH","1"
"00491","8","LRE","0"
"00491","9","PDAN","99"
"00491","10","ADR","1"
"00491","11","LN","0"
"00491","12","PS","141"
"00491","13","Other","0"
"00492","1","PSD","14"
"00492","2","PBK","1"
"00492","3","PLDSH","1"
"00492","4","BD","1"
"00492","5","ABEOK","0"
"00492","6","LSI","7"
"00492","7","NTH","0"
"00492","8","LRE","0"
"00492","9","PDAN","102"
"00492","10","ADR","0"
"00492","11","LN","0"
"00492","12","PS","116"
"00492","13","Other","0"
"00493","1","PSD","20"
"00493","2","PBK","1"
"00493","3","PLDSH","3"
"00493","4","BD","3"
"00493","5","ABEOK","0"
"00493","6","LSI","4"
"00493","7","NTH","0"
"00493","8","LRE","0"
"00493","9","PDAN","113"
"00493","10","ADR","0"
"00493","11","LN","0"
"00493","12","PS","94"
"00493","13","Other","0"
"0051","1","PSD","13"
"0051","2","PBK","0"
"0051","3","PLDSH","0"
"0051","4","BD","0"
"0051","5","ABEOK","0"
"0051","6","LSI","7"
"0051","7","NTH","0"
"0051","8","LRE","0"
"0051","9","PDAN","121"
"0051","10","ADR","0"
"0051","11","LN","1"
"0051","12","PS","65"
"0051","13","Other","0"
"0053","1","PSD","6"
"0053","2","PBK","0"
"0053","3","PLDSH","2"
"0053","4","BD","1"
"0053","5","ABEOK","0"
"0053","6","LSI","7"
"0053","7","NTH","0"
"0053","8","LRE","0"
"0053","9","PDAN","137"
"0053","10","ADR","0"
"0053","11","LN","0"
"0053","12","PS","71"
"0053","13","Other","0"
"0054","1","PSD","10"
"0054","2","PBK","2"
"0054","3","PLDSH","0"
"0054","4","BD","0"
"0054","5","ABEOK","0"
"0054","6","LSI","58"
"0054","7","NTH","8"
"0054","8","LRE","2"
"0054","9","PDAN","135"
"0054","10","ADR","2"
"0054","11","LN","2"
"0054","12","PS","111"
"0054","13","Other","0"
"0055","1","PSD","19"
"0055","2","PBK","0"
"0055","3","PLDSH","0"
"0055","4","BD","2"
"0055","5","ABEOK","0"
"0055","6","LSI","3"
"0055","7","NTH","0"
"0055","8","LRE","0"
"0055","9","PDAN","118"
"0055","10","ADR","1"
